Name,Address,Phone,Email,Website,Year_Established,Registration_VAT,Employees,Manager,Category,Description,Map_Location,Photos_Gallery,Image
Macmed Integrated Farms,"1, Gani Street, Ijegun Imore. Satellite Town, Lagos, Lagos, Nigeria",+234 803 331 6905,,,2013.0,,,,Agriculture,Sustainable farming and livestock solutions with comprehensive planning services.,,,agriculture.png
Aerologistics and Travels Ltd,"Suite C247 Ikota Business Complex, Lagos, Lagos, Nigeria",+234 4 610300,,,2006.0,,,,Travel,"Global travel solutions: tickets, tours, logistics, training services.",,,travel.png
Jacio International Company Ltd,"Zone B, Block 9, Shop 15, Aspamda Trade Fair Complex Lagos, Nigeria",08185587222,,,2008.0,,,,Services,Distributors of premium automotive products in Nigeria.,,,services.png
Maldini Granites and Marble Imports Limited,"41A Alhaji Tokan street, Alaka Estate, Surulere, Lagos, Lagos, Nigeria",+234 803 307 9719,,,1997.0,,,,RealEstate,"Quality granite and marble slabs, nationwide distribution in Nigeria.",,,real_estate.png
COHBS International,"14, Fadeyi Aladura Street, Off Awolowo Way, Ikeja Lagos Nigeria",08170417114,,,2017.0,,,,Services,Your trusted source for chemical materials and supplies.,,,services.png
Auto Auction Mall,"268, Herbert Macaulay Way, Alagomeji, Yaba, Lagos, Lagos, Nigeria",+234 901 536 2533,,,2016.0,,,,Services,Access U.S. dealer auctions for affordable vehicles made easy.,,,services.png
Royal Xtasy Spa,"House 17, Transit Village, Adetokunbo Ademola Street, Victoria Island , Lagos, Lagos, Nigeria",+234 904 309 4708,,,2021.0,,,,Services,"24-hour massage and wellness spa in Lagos, Nigeria.",,,services.png
CompareForexBrokers.ng,"196B Awolowo Rd, Lagos, Nigeria",+234 811 502 8665,,,2023.0,,,,Services,Your trusted guide for comparing Forex and CFDs brokers.,,,services.png
Favoured Pearls School,"4, Dapo Adeoye Street, Off Deeper Life Church, Soluyi, Gbagada, Lagos, Abia, Nigeria",+234 803 553 4097,,,,,,,Education,Nurturing young minds with quality education and care.,,,education.png
EB World,"497, Ikorodu Road, Ile-Ile Bus Stop, Ketu, Lagos, Lagos, Nigeria",+234 703 007 0996,,,2018.0,,,,RealEstate,Power tools and accessories for every building project.,,,real_estate.png
Green Valley Agro Ltd,"23, Farm Settlement Road, Ikorodu, Lagos, Nigeria",+234 802 445 7890,,,2015.0,,,,Agriculture,"Organic farming, poultry and fishery solutions for sustainable agriculture.",,,agriculture.png
Swift Travels Agency,"12B, Allen Avenue, Ikeja, Lagos, Nigeria",+234 809 123 4567,,,2010.0,,,,Travel,"Affordable flight bookings, visa assistance, and travel packages.",,,travel.png
TopTech Solutions,"456, Herbert Macaulay Way, Yaba, Lagos, Nigeria",+234 813 987 6543,,,2019.0,,,,Services,"IT consulting, software development, and digital transformation services.",,,services.png
Prime Properties Ltd,"78, Admiralty Way, Lekki Phase 1, Lagos, Nigeria",+234 806 543 2109,,,2012.0,,,,RealEstate,"Luxury real estate sales, rentals, and property management in Lagos.",,,real_estate.png
EduCare Academy,"5, Church Street, Surulere, Lagos, Nigeria",+234 805 234 5678,,,2008.0,,,,Education,"Quality primary and secondary education with modern facilities.",,,education.png
FreshFarms Nigeria,"Plot 45, Agric Settlement, Ikorodu, Lagos, Nigeria",+234 807 654 3210,,,2014.0,,,,Agriculture,"Fresh produce supplier, vegetable farming, and agricultural consulting.",,,agriculture.png
SkyHigh Logistics,"89, Apapa-Oshodi Expressway, Lagos, Nigeria",+234 808 765 4321,,,2017.0,,,,Travel,"Freight forwarding, cargo services, and international shipping solutions.",,,travel.png
MaxPro Engineering,"34, Industrial Estate, Ikeja, Lagos, Nigeria",+234 810 876 5432,,,2011.0,,,,Services,"Mechanical engineering, fabrication, and industrial maintenance services.",,,services.png
Urban Homes,"15, Fola Osibo Street, Lekki Phase 1, Lagos, Nigeria",+234 812 345 6789,,,2016.0,,,,RealEstate,"Affordable housing development and real estate investment opportunities.",,,real_estate.png
Bright Stars School,"22, College Road, Ogba, Lagos, Nigeria",+234 814 456 7890,,,2009.0,,,,Education,"Nursery and primary school with focus on academic excellence.",,,education.png
AgriTech Ventures,"67, Lagos-Ibadan Expressway, Lagos, Nigeria",+234 815 567 8901,,,2018.0,,,,Agriculture,"Agricultural technology, smart farming solutions, and crop management.",,,agriculture.png
Global Wings Travel,"3rd Floor, 123 Broad Street, Lagos Island, Nigeria",+234 816 678 9012,,,2007.0,,,,Travel,"Corporate travel management, event planning, and tour packages.",,,travel.png
ProServe Consulting,"28, Opebi Road, Ikeja, Lagos, Nigeria",+234 817 789 0123,,,2013.0,,,,Services,"Business consulting, HR services, and management advisory.",,,services.png
Legacy Estates,"41, Admiralty Road, Lekki, Lagos, Nigeria",+234 818 890 1234,,,2015.0,,,,RealEstate,"Premium property development and real estate consultancy services.",,,real_estate.png
Knowledge Hub,"9, Toyin Street, Ikeja, Lagos, Nigeria",+234 819 901 2345,,,2010.0,,,,Education,"Adult education, professional training, and certification programs.",,,education.png
Golden Harvest Farms,"Plot 12, Epe Road, Lagos, Nigeria",+234 820 012 3456,,,2016.0,,,,Agriculture,"Cassava farming, processing, and agricultural product distribution.",,,agriculture.png
Wanderlust Tours,"56, Awolowo Road, Ikoyi, Lagos, Nigeria",+234 821 123 4567,,,2012.0,,,,Travel,"Luxury travel experiences, safari tours, and vacation planning.",,,travel.png
TechFix Solutions,"18, Computer Village, Ikeja, Lagos, Nigeria",+234 822 234 5678,,,2020.0,,,,Services,"Computer repairs, phone repairs, and IT support services.",,,services.png
Crown Properties,"72, Ajose Adeogun Street, Victoria Island, Lagos, Nigeria",+234 823 345 6789,,,2014.0,,,,RealEstate,"Commercial property leasing and real estate investment advisory.",,,real_estate.png
Future Leaders Academy,"31, Mobolaji Bank Anthony Way, Ikeja, Lagos, Nigeria",+234 824 456 7890,,,2011.0,,,,Education,"Secondary school with STEM focus and modern learning facilities.",,,education.png
AgroPlus Enterprises,"88, Badagry Expressway, Lagos, Nigeria",+234 825 567 8901,,,2017.0,,,,Agriculture,"Animal feed production, livestock farming, and veterinary services.",,,agriculture.png
Journey Makers Travel,"14, Adeola Odeku Street, Victoria Island, Lagos, Nigeria",+234 826 678 9012,,,2009.0,,,,Travel,"Study abroad programs, immigration services, and travel documentation.",,,travel.png
Elite Services Ltd,"49, Allen Avenue, Ikeja, Lagos, Nigeria",+234 827 789 0123,,,2015.0,,,,Services,"Facility management, cleaning services, and maintenance contracts.",,,services.png
Metro Homes,"25, Lekki-Epe Expressway, Ajah, Lagos, Nigeria",+234 828 890 1234,,,2013.0,,,,RealEstate,"Residential property sales and rental property management.",,,real_estate.png
Smart Kids School,"17, Ogudu Road, Ojota, Lagos, Nigeria",+234 829 901 2345,,,2008.0,,,,Education,"Montessori education and early childhood development programs.",,,education.png
FarmTech Nigeria,"Plot 23, Agbara Industrial Estate, Lagos, Nigeria",+234 830 012 3456,,,2019.0,,,,Agriculture,"Agricultural machinery, irrigation systems, and farm equipment.",,,agriculture.png
Explore Africa Travel,"38, Admiralty Way, Lekki, Lagos, Nigeria",+234 831 123 4567,,,2011.0,,,,Travel,"African safari tours, cultural experiences, and adventure travel.",,,travel.png
ProClean Services,"11, Ikorodu Road, Maryland, Lagos, Nigeria",+234 832 234 5678,,,2016.0,,,,Services,"Professional cleaning, fumigation, and pest control services.",,,services.png
Prestige Realty,"53, Adeola Hopewell Street, Victoria Island, Lagos, Nigeria",+234 833 345 6789,,,2012.0,,,,RealEstate,"Luxury real estate, property valuation, and investment consulting.",,,real_estate.png
Excel Academy,"44, Ago Palace Way, Okota, Lagos, Nigeria",+234 834 456 7890,,,2010.0,,,,Education,"Secondary school with focus on science and technology education.",,,education.png
Green Fields Agro,"Plot 56, Lagos-Abeokuta Expressway, Lagos, Nigeria",+234 835 567 8901,,,2015.0,,,,Agriculture,"Greenhouse farming, hydroponics, and organic vegetable production.",,,agriculture.png
Vacation Masters,"29, Sanusi Fafunwa Street, Victoria Island, Lagos, Nigeria",+234 836 678 9012,,,2013.0,,,,Travel,"Holiday packages, honeymoon planning, and group travel services.",,,travel.png
QuickFix Engineers,"66, Iyana Ipaja Road, Lagos, Nigeria",+234 837 789 0123,,,2018.0,,,,Services,"Electrical engineering, plumbing, and general contracting services.",,,services.png
Landmark Properties,"19, Ozumba Mbadiwe Avenue, Victoria Island, Lagos, Nigeria",+234 838 890 1234,,,2014.0,,,,RealEstate,"Property development, sales, and real estate marketing services.",,,real_estate.png
Pinnacle School,"7, CMD Road, Magodo, Lagos, Nigeria",+234 839 901 2345,,,2009.0,,,,Education,"British curriculum school with international standard facilities.",,,education.png
Agro Ventures Ltd,"Plot 34, Ojo Industrial Area, Lagos, Nigeria",+234 840 012 3456,,,2016.0,,,,Agriculture,"Fish farming, aquaculture, and seafood processing services.",,,agriculture.png
TravelPro Agency,"51, Awolowo Way, Ikeja, Lagos, Nigeria",+234 841 123 4567,,,2012.0,,,,Travel,"Business travel services, conference planning, and group bookings.",,,travel.png
HomeFix Services,"22, Agege Motor Road, Lagos, Nigeria",+234 842 234 5678,,,2017.0,,,,Services,"Home repairs, renovation, and interior decoration services.",,,services.png
Dream Homes Ltd,"36, Glover Road, Ikoyi, Lagos, Nigeria",+234 843 345 6789,,,2013.0,,,,RealEstate,"High-end property sales and luxury home development.",,,real_estate.png
Victory Academy,"13, Idimu Road, Ikotun, Lagos, Nigeria",+234 844 456 7890,,,2011.0,,,,Education,"Affordable quality education with strong moral foundation.",,,education.png
Harvest Time Farms,"Plot 78, Ibeju-Lekki, Lagos, Nigeria",+234 845 567 8901,,,2018.0,,,,Agriculture,"Fruit farming, citrus production, and agricultural exports.",,,agriculture.png
Adventure Travels,"42, Oduduwa Crescent, GRA Ikeja, Lagos, Nigeria",+234 846 678 9012,,,2010.0,,,,Travel,"Outdoor adventures, camping trips, and hiking expeditions.",,,travel.png
Total Solutions Ltd,"27, Kudirat Abiola Way, Ikeja, Lagos, Nigeria",+234 847 789 0123,,,2015.0,,,,Services,"Business process outsourcing and customer service solutions.",,,services.png
Prime Realty Group,"61, Adetokunbo Ademola Street, Victoria Island, Lagos, Nigeria",+234 848 890 1234,,,2014.0,,,,RealEstate,"Real estate brokerage and property investment advisory.",,,real_estate.png
Champions School,"8, Ejigbo Road, Lagos, Nigeria",+234 849 901 2345,,,2012.0,,,,Education,"Day and boarding school with excellent academic track record.",,,education.png
Dairy Fresh Farms,"Plot 90, Ikorodu-Sagamu Road, Lagos, Nigeria",+234 850 012 3456,,,2017.0,,,,Agriculture,"Dairy farming, milk processing, and yogurt production.",,,agriculture.png
Global Destinations,"55, Isaac John Street, GRA Ikeja, Lagos, Nigeria",+234 851 123 4567,,,2011.0,,,,Travel,"International travel, visa processing, and travel insurance.",,,travel.png
AllPro Services,"33, Acme Road, Ogba, Lagos, Nigeria",+234 852 234 5678,,,2016.0,,,,Services,"Security services, CCTV installation, and access control systems.",,,services.png
Summit Properties,"47, Kingsway Road, Ikoyi, Lagos, Nigeria",+234 853 345 6789,,,2013.0,,,,RealEstate,"Estate development and property portfolio management.",,,real_estate.png
Rising Stars School,"20, Akowonjo Road, Egbeda, Lagos, Nigeria",+234 854 456 7890,,,2010.0,,,,Education,"Nursery, primary and secondary education with ICT integration.",,,education.png
AgriSupply Hub,"Plot 45, Ajah-Epe Expressway, Lagos, Nigeria",+234 855 567 8901,,,2018.0,,,,Agriculture,"Agricultural inputs supplier, seeds, fertilizers, and chemicals.",,,agriculture.png
Skyline Travels,"26, Oyin Jolayemi Street, Victoria Island, Lagos, Nigeria",+234 856 678 9012,,,2012.0,,,,Travel,"Flight bookings, hotel reservations, and travel packages.",,,travel.png
Expert Consultants,"39, Obafemi Awolowo Way, Ikeja, Lagos, Nigeria",+234 857 789 0123,,,2015.0,,,,Services,"Management consulting, training, and organizational development.",,,services.png
Urban Realty,"24, Akin Adesola Street, Victoria Island, Lagos, Nigeria",+234 858 890 1234,,,2014.0,,,,RealEstate,"Property sales, lettings, and real estate advisory services.",,,real_estate.png
Genius Academy,"16, Bode Thomas Street, Surulere, Lagos, Nigeria",+234 859 901 2345,,,2011.0,,,,Education,"Tutorial center and after-school programs for students.",,,education.png
Poultry Pro Farms,"Plot 67, Agege-Otta Road, Lagos, Nigeria",+234 860 012 3456,,,2016.0,,,,Agriculture,"Commercial poultry farming, egg production, and hatchery services.",,,agriculture.png
Journeys Unlimited,"43, Adeola Odeku Street, Victoria Island, Lagos, Nigeria",+234 861 123 4567,,,2013.0,,,,Travel,"Cruise bookings, destination weddings, and luxury travel.",,,travel.png
TopNotch Services,"30, Mobolaji Bank Anthony Way, Maryland, Lagos, Nigeria",+234 862 234 5678,,,2017.0,,,,Services,"Event planning, catering, and hospitality management.",,,services.png
Horizon Properties,"52, Kofo Abayomi Street, Victoria Island, Lagos, Nigeria",+234 863 345 6789,,,2012.0,,,,RealEstate,"Real estate development and construction services.",,,real_estate.png
Future Bright School,"21, Egbeda-Idimu Road, Lagos, Nigeria",+234 864 456 7890,,,2010.0,,,,Education,"Christian-based education with character development focus.",,,education.png
Crop Masters Ltd,"Plot 89, Lekki Free Trade Zone, Lagos, Nigeria",+234 865 567 8901,,,2019.0,,,,Agriculture,"Crop cultivation, processing, and agricultural commodities trading.",,,agriculture.png
Travel Express,"37, Adeniyi Jones Avenue, Ikeja, Lagos, Nigeria",+234 866 678 9012,,,2011.0,,,,Travel,"Bus ticketing, cargo services, and interstate travel.",,,travel.png
ProTech Solutions,"48, Computer Village, Ikeja, Lagos, Nigeria",+234 867 789 0123,,,2016.0,,,,Services,"Software development, web design, and digital marketing.",,,services.png
Elite Estates,"35, Ahmadu Bello Way, Victoria Island, Lagos, Nigeria",+234 868 890 1234,,,2013.0,,,,RealEstate,"Luxury property development and high-end real estate sales.",,,real_estate.png
Knowledge Academy,"10, Festac Link Road, Amuwo Odofin, Lagos, Nigeria",+234 869 901 2345,,,2012.0,,,,Education,"JAMB/WAEC preparation classes and educational consulting.",,,education.png
FarmPlus Nigeria,"Plot 12, Agbara-Badagry Road, Lagos, Nigeria",+234 870 012 3456,,,2015.0,,,,Agriculture,"Integrated farming, crop and livestock production systems.",,,agriculture.png
Passport Travels,"32, Allen Avenue, Ikeja, Lagos, Nigeria",+234 871 123 4567,,,2014.0,,,,Travel,"Passport services, visa facilitation, and travel advisory.",,,travel.png
MegaServe Ltd,"40, Oba Akran Avenue, Ikeja, Lagos, Nigeria",+234 872 234 5678,,,2018.0,,,,Services,"Logistics, courier services, and supply chain management.",,,services.png
Capital Homes,"58, Ajose Adeogun Street, Victoria Island, Lagos, Nigeria",+234 873 345 6789,,,2015.0,,,,RealEstate,"Residential and commercial property development and sales.",,,real_estate.png
Scholars Academy,"15, Ipaja-Ayobo Road, Lagos, Nigeria",+234 874 456 7890,,,2009.0,,,,Education,"Quality education with focus on STEM and entrepreneurship.",,,education.png
AgroMax Ventures,"Plot 23, Epe-Ijebu Ode Road, Lagos, Nigeria",+234 875 567 8901,,,2017.0,,,,Agriculture,"Agricultural consultancy, farm management, and agribusiness.",,,agriculture.png
World Travelers,"46, Karimu Kotun Street, Victoria Island, Lagos, Nigeria",+234 876 678 9012,,,2010.0,,,,Travel,"Tour operations, travel packages, and destination management.",,,travel.png
Excellence Services,"28, Awolowo Road, Ikoyi, Lagos, Nigeria",+234 877 789 0123,,,2013.0,,,,Services,"HR outsourcing, recruitment, and staffing solutions.",,,services.png
Gateway Properties,"50, Ozumba Mbadiwe Avenue, Victoria Island, Lagos, Nigeria",+234 878 890 1234,,,2016.0,,,,RealEstate,"Property management, facility management, and leasing services.",,,real_estate.png
Premier Academy Lagos,"6, Bishop Oluwole Street, Victoria Island, Lagos, Nigeria",+234 879 901 2345,,,2008.0,,,,Education,"International school with A-Level and IGCSE programs.",,,education.png
Agri-Business Hub,"Plot 34, Lagos-Badagry Expressway, Lagos, Nigeria",+234 880 012 3456,,,2018.0,,,,Agriculture,"Agricultural training, farm setup, and agribusiness consulting.",,,agriculture.png
Fly High Travels,"31, Idowu Taylor Street, Victoria Island, Lagos, Nigeria",+234 881 123 4567,,,2012.0,,,,Travel,"Corporate travel, MICE services, and travel technology solutions.",,,travel.png
Best Services Ltd,"19, Oregun Road, Ikeja, Lagos, Nigeria",+234 882 234 5678,,,2015.0,,,,Services,"Branding, printing, and advertising services for businesses.",,,services.png
Prestige Homes Ltd,"45, Adeola Hopewell Street, Victoria Island, Lagos, Nigeria",+234 883 345 6789,,,2014.0,,,,RealEstate,"Upscale property sales and real estate investment opportunities.",,,real_estate.png
Excellence Academy,"12, Akowonjo-Shasha Road, Lagos, Nigeria",+234 884 456 7890,,,2011.0,,,,Education,"Comprehensive education from nursery to secondary level.",,,education.png
